method,camera_frame,window_frames,rolling_precision,rolling_recall,rolling_f1,cumulative_fp,source_mode,detail_available
radar_bounded_crops,152,15,0.7317073170731707,0.2222222222222222,0.34090909090909094,51,prediction_jsonl,True
radar_bounded_crops,153,15,0.75,0.2222222222222222,0.34285714285714286,51,prediction_jsonl,True
radar_bounded_crops,154,15,0.7692307692307693,0.2222222222222222,0.3448275862068966,51,prediction_jsonl,True
radar_bounded_crops,155,15,0.7894736842105263,0.2222222222222222,0.3468208092485549,51,prediction_jsonl,True
radar_bounded_crops,156,15,0.8108108108108109,0.2222222222222222,0.34883720930232553,51,prediction_jsonl,True
radar_bounded_crops,157,15,0.8333333333333334,0.2222222222222222,0.3508771929824561,51,prediction_jsonl,True
radar_bounded_crops,158,15,0.8571428571428571,0.2222222222222222,0.35294117647058826,51,prediction_jsonl,True
radar_bounded_crops,159,15,0.8333333333333334,0.2222222222222222,0.3508771929824561,53,prediction_jsonl,True
radar_bounded_crops,160,15,0.8378378378378378,0.22962962962962963,0.36046511627906974,54,prediction_jsonl,True
radar_bounded_crops,161,15,0.8,0.23703703703703705,0.3657142857142857,56,prediction_jsonl,True
radar_bounded_crops,162,15,0.8,0.23703703703703705,0.3657142857142857,57,prediction_jsonl,True
radar_bounded_crops,163,15,0.7674418604651163,0.24444444444444444,0.3707865168539326,59,prediction_jsonl,True
radar_bounded_crops,164,15,0.75,0.24444444444444444,0.3687150837988826,61,prediction_jsonl,True
radar_bounded_crops,165,15,0.723404255319149,0.2518518518518518,0.3736263736263736,63,prediction_jsonl,True
radar_bounded_crops,166,15,0.7083333333333334,0.2518518518518518,0.3715846994535519,65,prediction_jsonl,True
radar_bounded_crops,167,15,0.68,0.2518518518518518,0.36756756756756753,67,prediction_jsonl,True
radar_bounded_crops,168,15,0.660377358490566,0.25925925925925924,0.3723404255319149,69,prediction_jsonl,True
radar_bounded_crops,169,15,0.6666666666666666,0.26666666666666666,0.3809523809523809,69,prediction_jsonl,True
radar_bounded_crops,170,15,0.6545454545454545,0.26666666666666666,0.37894736842105264,70,prediction_jsonl,True
radar_bounded_crops,171,15,0.6206896551724138,0.26666666666666666,0.3730569948186528,73,prediction_jsonl,True
radar_bounded_crops,172,15,0.6206896551724138,0.26666666666666666,0.3730569948186528,73,prediction_jsonl,True
radar_bounded_crops,173,15,0.6,0.26666666666666666,0.36923076923076925,75,prediction_jsonl,True
radar_bounded_crops,174,15,0.6206896551724138,0.26666666666666666,0.3730569948186528,75,prediction_jsonl,True
radar_bounded_crops,175,15,0.6140350877192983,0.25925925925925924,0.3645833333333333,76,prediction_jsonl,True
radar_bounded_crops,176,15,0.6296296296296297,0.2518518518518518,0.35978835978835977,76,prediction_jsonl,True
radar_bounded_crops,177,15,0.6296296296296297,0.2518518518518518,0.35978835978835977,77,prediction_jsonl,True
